community,RELEVE_NR,ALTITUDE,LONGITUDE,LATITUDE,bio1,bio17
Temperate,6355,2140,-4.8410511,43.2096324,2.25,260.5
Temperate,6377,1970,-4.8224267,43.2013944,3.950000048,266.8999939
Temperate,6384,2300,-4.8456316,43.2031384,1.950000048,249.6999969
Temperate,6386,2143,-4.8294462,43.1842098,2.650000095,260.1000061
Mediterranean,474,1970,-6.3501971,42.7914246,6.449999809,166.3999939
Mediterranean,475,1710,-6.3433387,42.7982623,4.949999809,164.3999939
Mediterranean,485,2110,-6.3504261,42.7915019,6.449999809,166.3999939
Mediterranean,509,1970,-6.3395825,42.7934656,4.650000095,163.6000061
Mediterranean,6388,2000,-6.1288,42.9093,4.25,146.3999939
Mediterranean,6389,2000,-6.13,42.9081,4.449999809,149.3999939
Mediterranean,6390,2100,-6.1268,42.9093,4.25,146.3999939
Mediterranean,6391,2110,-6.1266,42.9087,4.25,146.3999939
Mediterranean,6392,2000,-6.1049,42.8814,4.449999809,151
Mediterranean,6393,2000,-6.1037,42.8816,4.449999809,151
Mediterranean,6394,2050,-6.1179,42.8985,3.950000048,152.6000061
Mediterranean,6395,2000,-6.1166,42.8987,3.950000048,154.5
Mediterranean,6421,1973,-6.2414506,42.7882937,4.550000191,146.1000061
Mediterranean,6422,1948,-6.242692,42.7911726,4.650000095,147
Mediterranean,6423,1915,-6.2350061,42.7891177,4.550000191,146.1000061
Mediterranean,6424,1820,-6.3033997,42.8142684,4.650000095,163.5
Mediterranean,6425,2000,-6.3117599,42.8075938,4.349999905,163
Mediterranean,6426,2020,-6.3123737,42.8078993,4.349999905,163
Mediterranean,6427,1998,-6.3092046,42.8137252,4.449999809,164
Mediterranean,6428,1915,-6.2990533,42.8220017,4.849999905,163.8000031
Mediterranean,6429,1897,-6.2815736,42.8253327,4.449999809,161.1999969
Mediterranean,6430,1945,-6.3482172,42.7936829,4.949999809,164.3999939
Mediterranean,6431,1900,-6.344078,42.7950087,4.949999809,164.3999939
Mediterranean,6432,1980,-6.3309789,42.7982053,4.949999809,163.1000061
Mediterranean,6433,1967,-6.3297702,42.7989026,4.949999809,163.1000061
Mediterranean,6434,2030,-6.3216743,42.8010579,4.449999809,163.6999969
Mediterranean,6435,2063,-6.2799885,42.8407909,4.150000095,161.6000061
Mediterranean,6436,2020,-6.278749,42.8391068,4.150000095,161.6000061
Mediterranean,6437,2063,-6.2764472,42.8367508,4.150000095,161.6000061
Mediterranean,6438,1903,-6.2780776,42.8496489,4.349999905,161.8000031
Mediterranean,6439,1940,-6.1103482,42.8818789,4.75,149.1999969
Mediterranean,6440,2116,-6.1031052,42.8923544,3.950000048,156.1000061
Mediterranean,6441,2068,-6.1103887,42.8967572,3.950000048,154.5
Mediterranean,6442,2046,-6.1158389,42.8983694,3.950000048,154.5
Mediterranean,6443,2026,-6.1255706,42.9086546,4.25,146.3999939
Mediterranean,6444,2037,-6.335954,42.8297311,4.050000191,163.8999939
Mediterranean,6445,1976,-6.3351382,42.8281244,4.050000191,163.8999939
Mediterranean,6446,1949,-6.3258641,42.8266706,4.449999809,164.8000031
Mediterranean,6447,2100,-6.0616413,42.9063636,4.150000095,159.1999969
Mediterranean,6448,2074,-6.0691809,42.903888,3.950000048,159
Mediterranean,6449,2120,-6.0752027,42.8997058,4.150000095,159.5
Mediterranean,6450,1938,-6.055794,42.9066233,4.849999905,159.1000061
Mediterranean,6451,1977,-6.03745,42.9105408,4.650000095,154.3999939
Mediterranean,6452,2049,-6.3008531,42.8781907,4.349999905,162.8999939
Mediterranean,6453,2011,-6.3020198,42.8794243,4.349999905,162.8999939
Mediterranean,6454,2017,-6.3020972,42.8784891,4.349999905,162.8999939
