Macroclimate;Specie;Site;code;Plant;N seeds;
Mediterranean;Dianthus langeanus;Penauta;110821-01;3;12;
Mediterranean;Dianthus langeanus;Penauta;110821-01;4;25;
Mediterranean;Dianthus langeanus;Penauta;110821-01;5;70;
Mediterranean;Dianthus langeanus;Penauta;110821-01;6;31;
Mediterranean;Dianthus langeanus;Penauta;110821-01;7;121;
Mediterranean;Dianthus langeanus;Penauta;110821-01;8;48;
Mediterranean;Dianthus langeanus;Penauta;110821-01;9;71;
Mediterranean;Dianthus langeanus;Penauta;110821-01;10;50;
Temperate;Erigeron alpinus;Boches;230822-06;1;19;
Temperate;Erigeron alpinus;Boches;230822-06;2;4;
Temperate;Erigeron alpinus;Boches;230822-06;3;13;
Temperate;Erigeron alpinus;Boches;230822-06;4;13;
Temperate;Erigeron alpinus;Boches;230822-06;5;0;
Temperate;Erigeron alpinus;Boches;230822-06;6;2;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;1;19;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;2;14;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;3;11;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;4;10;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;5;2;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;6;13;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;7;11;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;8;9;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;9;3;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;10;19;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;1;5;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;2;2;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;3;56;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;4;12;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;5;0;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;6;10;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;7;0;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;8;1;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;9;2;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;10;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;1;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;2;3;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;3;13;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;4;6;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;5;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;6;10;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;7;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;8;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;9;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;10;0;
Temperate;Festuca glacialis;Boches;230822-04;1;12;
Temperate;Festuca glacialis;Boches;230822-04;2;27;
Temperate;Festuca glacialis;Boches;230822-04;3;16;
Temperate;Festuca glacialis;Boches;230822-04;4;19;
Temperate;Festuca glacialis;Boches;230822-04;5;15;
Temperate;Festuca glacialis;Boches;230822-04;6;16;
Temperate;Festuca glacialis;Boches;230822-04;7;14;
Temperate;Festuca glacialis;Boches;230822-04;8;14;
Temperate;Festuca glacialis;Boches;230822-04;9;12;
Temperate;Festuca glacialis;Boches;230822-04;10;12;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;1;1;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;2;5;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;3;2;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;4;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;5;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;6;4;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;7;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;8;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;9;5;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;10;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;1;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;2;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;3;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;4;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;5;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;6;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;7;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;8;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;9;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;10;0;
Temperate ;Festuca rubra;Los cazadores;310821-02;1;0;black
Temperate ;Festuca rubra;Los cazadores;310821-02;2;57;black
Temperate ;Festuca rubra;Los cazadores;310821-02;3;111;black
Temperate ;Festuca rubra;Los cazadores;310821-02;4;1;black
Temperate ;Festuca rubra;Los cazadores;310821-02;5;30;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;6;39;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;7;178;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;8;104;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;9;62;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;10;50;brown
Mediterranean;Festuca summilusitana;Penauta;250821-02;1;8;
Mediterranean;Festuca summilusitana;Penauta;250821-02;2;25;
Mediterranean;Festuca summilusitana;Penauta;250821-02;3;15;
Mediterranean;Festuca summilusitana;Penauta;250821-02;4;18;
Mediterranean;Festuca summilusitana;Penauta;250821-02;5;14;
Mediterranean;Festuca summilusitana;Penauta;250821-02;6;19;
Mediterranean;Festuca summilusitana;Penauta;250821-02;7;16;
Mediterranean;Festuca summilusitana;Penauta;250821-02;8;38;
Mediterranean;Festuca summilusitana;Penauta;250821-02;9;29;
Mediterranean;Festuca summilusitana;Penauta;250821-02;10;3;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;1;6;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;2;82;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;3;306;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;4;110;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;5;80;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;6;52;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;7;161;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;8;116;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;9;47;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;10;21;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;1;24;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;2;158;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;3;13;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;4;119;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;5;334;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;6;37;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;7;6;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;8;96;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;9;21;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;10;0;
Temperate ;Gentiana verna;Los boches;140921-06;1;1;
Temperate ;Gentiana verna;Los boches;140921-06;2;46;
Temperate ;Gentiana verna;Los boches;140921-06;3;25;
Temperate ;Gentiana verna;Los boches;140921-06;4;37;
Temperate ;Gentiana verna;Los boches;140921-06;5;48;
Temperate ;Gentiana verna;Los boches;140921-06;6;31;
Temperate ;Gentiana verna;Los boches;140921-06;7;20;
Temperate ;Gentiana verna;Los boches;140921-06;8;5;
Temperate ;Gentiana verna;Los boches;140921-06;9;24;
Temperate ;Gentiana verna;Los boches;140921-06;10;12;
Temperate;Gentianella campestris;Los cazadores;300921-03;1;175;
Temperate;Gentianella campestris;Los cazadores;300921-03;2;110;
Temperate;Gentianella campestris;Los cazadores;300921-03;3;661;
Temperate;Gentianella campestris;Los cazadores;300921-03;4;141;
Temperate;Gentianella campestris;Los cazadores;300921-03;5;593;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;1;32;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;2;0;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;3;2;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;4;11;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;5;1;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;6;12;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;7;20;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;8;11;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;9;7;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;10;9;
Temperate ;Gypsophila repens;Los cazadores;310821-08;1;176;
Temperate ;Gypsophila repens;Los cazadores;310821-08;2;15;
Temperate ;Gypsophila repens;Los cazadores;310821-08;3;89;
Temperate ;Gypsophila repens;Los cazadores;310821-08;4;19;
Temperate ;Gypsophila repens;Los cazadores;310821-08;5;80;
Temperate ;Gypsophila repens;Los cazadores;310821-08;6;103;
Temperate ;Gypsophila repens;Los cazadores;310821-08;7;46;
Temperate ;Gypsophila repens;Los cazadores;310821-08;8;137;
Temperate ;Gypsophila repens;Los cazadores;310821-08;9;11;
Temperate ;Gypsophila repens;Hou sin tierri;190822-10;10;63;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;1;68;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;2;98;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;3;33;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;4;34;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;5;63;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;6;26;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;7;47;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;8;47;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;9;104;
Temperate;Helianthemum canum;Hoyo sin tierra;300821-05;10;82;
Temperate ;Helianthemum canum;Los cazadores;310821-05;1;97;
Temperate ;Helianthemum canum;Los cazadores;310821-05;2;48;
Temperate ;Helianthemum canum;Los cazadores;310821-05;3;75;
Temperate ;Helianthemum canum;Los cazadores;310821-05;4;19;
Temperate ;Helianthemum canum;Los cazadores;310821-05;5;31;
Temperate ;Helianthemum canum;Los cazadores;310821-05;6;31;
Temperate ;Helianthemum canum;Los cazadores;310821-05;7;31;
Temperate ;Helianthemum canum;Los cazadores;310821-05;8;88;
Temperate ;Helianthemum canum;Los cazadores;310821-05;9;37;
Temperate ;Helianthemum canum;Los cazadores;310821-05;10;45;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;1;132;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;2;60;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;3;13;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;4;55;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;5;67;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;6;30;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;7;160;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;8;61;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;9;29;
Temperate ;Helianthemum urrielense;Hou sin tierri;130921-05;10;105;
Temperate ;Helianthemum urrielense;Los boches;140921-04;1;72;
Temperate ;Helianthemum urrielense;Los boches;140921-04;2;139;
Temperate ;Helianthemum urrielense;Los boches;140921-04;3;64;
Temperate ;Helianthemum urrielense;Los boches;140921-04;4;153;
Temperate ;Helianthemum urrielense;Los boches;140921-04;5;48;
Temperate ;Helianthemum urrielense;Los boches;140921-04;6;169;
Temperate ;Helianthemum urrielense;Los boches;140921-04;7;212;
Temperate ;Helianthemum urrielense;Los boches;140921-04;8;102;
Temperate ;Helianthemum urrielense;Los boches;140921-04;9;76;
Temperate ;Helianthemum urrielense;Los boches;140921-04;10;76;
Mediterranean;Helictochloa marginata;Penauta;250821-11;1;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;2;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;3;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;4;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;5;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;6;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;7;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;8;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;9;0;pasadas?
Mediterranean;Helictochloa marginata;Penauta;250821-11;10;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;1;0;pasadas?
